game_id,black_strategy,white_strategy,radius,turns,k,candidate_limit,opening_id,opening_pair,moves,winner,wlu,terminal_ply,black_stones,white_stones,final_class,final_black_tau,final_white_tau,final_black_obligations,final_white_obligations,final_black_pair_atoms,final_white_pair_atoms,final_black_bulk_pressure,final_white_bulk_pressure,first_black_tau_gt2,first_white_tau_gt2,max_black_tau,max_white_tau,tactical_score
G00001,debt_builder,screen_counter,3,4,6,8,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[-1, -1], [-1, 2]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[-1, -2], [-1, 3]]}]",white,W,5,5,6,white_counter_line,2,0,2,0,0,0,50.0,1000.0,,,2,1,12873.5
G00002,debt_builder,screen_counter,3,4,6,8,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [2, -2]]}, {""color"": ""black"", ""stones"": [[0, -1], [2, -1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-1, -1]]}, {""color"": ""black"", ""stones"": [[1, -2], [0, -2]]}, {""color"": ""white"", ""stones"": [[-2, 0], [-2, 1]]}, {""color"": ""black"", ""stones"": [[-2, 2], [-1, 2]]}, {""color"": ""white"", ""stones"": [[0, 2], [1, 1]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00003,debt_builder,screen_counter,3,4,6,8,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [0, -2]]}, {""color"": ""black"", ""stones"": [[-1, 1], [1, 1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-2, 1]]}, {""color"": ""black"", ""stones"": [[2, -1], [2, -2]]}, {""color"": ""white"", ""stones"": [[1, -2], [-1, -1]]}, {""color"": ""black"", ""stones"": [[-2, 0], [-2, 2]]}, {""color"": ""white"", ""stones"": [[-1, 2], [0, 2]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00004,debt_builder,screen_counter,3,4,6,8,O0004,"[[-2, 0], [-2, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-2, 0], [-2, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[0, -1], [2, -2]]}, {""color"": ""black"", ""stones"": [[-1, 0], [-1, 2]]}, {""color"": ""white"", ""stones"": [[1, 0], [-1, -1]]}, {""color"": ""black"", ""stones"": [[0, 1], [2, 0]]}, {""color"": ""white"", ""stones"": [[2, -1], [1, -2]]}, {""color"": ""black"", ""stones"": [[0, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[0, 2], [1, 1]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00005,debt_builder,screen_counter,3,4,6,8,O0005,"[[-2, 0], [-2, 2]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-2, 0], [-2, 2]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[2, -1], [0, -2]]}, {""color"": ""black"", ""stones"": [[-1, 0], [-2, 1]]}, {""color"": ""white"", ""stones"": [[1, -2], [1, 1]]}, {""color"": ""black"", ""stones"": [[-1, 1], [-1, -1]]}, {""color"": ""white"", ""stones"": [[1, 0], [1, -1]]}, {""color"": ""black"", ""stones"": [[-1, 2], [1, -3]]}, {""color"": ""white"", ""stones"": [[2, 0], [-1, -2]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,1,1,0.0
G00006,debt_builder,screen_counter,3,4,6,8,O0006,"[[-2, 0], [-1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-2, 0], [-1, 0]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[0, -1], [2, -2]]}, {""color"": ""black"", ""stones"": [[1, -2], [1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[2, 0], [2, -1]]}, {""color"": ""white"", ""stones"": [[0, -2], [-1, -1]]}, {""color"": ""black"", ""stones"": [[-2, 1], [-2, 2]]}, {""color"": ""white"", ""stones"": [[-1, 2], [0, 2]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00007,debt_builder,screen_counter,3,4,6,8,O0007,"[[-2, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-2, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, -2]]}, {""color"": ""black"", ""stones"": [[2, -1], [-1, -1]]}, {""color"": ""white"", ""stones"": [[1, 0], [1, -1]]}, {""color"": ""black"", ""stones"": [[2, 0], [1, -2]]}, {""color"": ""white"", ""stones"": [[2, -2], [-2, 1]]}, {""color"": ""black"", ""stones"": [[-2, 2], [-1, 2]]}, {""color"": ""white"", ""stones"": [[0, 2], [1, 1]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00008,debt_builder,screen_counter,3,4,6,8,O0008,"[[-2, 0], [-1, 2]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-2, 0], [-1, 2]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[0, 1], [2, -2]]}, {""color"": ""black"", ""stones"": [[0, -1], [2, -1]]}, {""color"": ""white"", ""stones"": [[1, -2], [-1, -1]]}, {""color"": ""black"", ""stones"": [[1, 0], [-1, 0]]}, {""color"": ""white"", ""stones"": [[2, 0], [0, -2]]}, {""color"": ""black"", ""stones"": [[-2, 1], [-2, 2]]}, {""color"": ""white"", ""stones"": [[0, 2], [1, 1]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00009,debt_builder,min_tau,3,4,6,8,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[-1, -1], [-1, 2]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[-1, -2], [-1, 3]]}]",white,W,5,5,6,white_counter_line,2,0,2,0,0,0,50.0,1000.0,,,2,1,12873.5
G00010,debt_builder,min_tau,3,4,6,8,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, -1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}, {""color"": ""black"", ""stones"": [[2, -1], [1, -2]]}, {""color"": ""white"", ""stones"": [[2, 0], [0, -2]]}, {""color"": ""black"", ""stones"": [[-1, -1], [-2, 0]]}, {""color"": ""white"", ""stones"": [[-2, 1], [-1, 2]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,2,0,0.0
G00011,debt_builder,min_tau,3,4,6,8,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[0, -3], [0, 3]]}, {""color"": ""black"", ""stones"": [[1, -2], [-1, -1]]}, {""color"": ""white"", ""stones"": [[2, 0], [2, -1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 0]]}, {""color"": ""white"", ""stones"": [[-2, 1], [-2, 2]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,2,0,0.0
G00012,debt_builder,min_tau,3,4,6,8,O0004,"[[-2, 0], [-2, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-2, 0], [-2, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}, {""color"": ""black"", ""stones"": [[1, 0], [1, -2]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, -1]]}, {""color"": ""black"", ""stones"": [[1, 1], [1, -3]]}, {""color"": ""white"", ""stones"": [[2, 0], [1, 2]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,2,0,0.0
G00013,debt_builder,min_tau,3,4,6,8,O0005,"[[-2, 0], [-2, 2]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-2, 0], [-2, 2]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [1, -1]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[0, -3], [0, 3]]}, {""color"": ""black"", ""stones"": [[1, -2], [-2, 1]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[2, 0], [-1, -1]]}, {""color"": ""white"", ""stones"": [[2, -1], [2, -2]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,2,0,0.0
G00014,debt_builder,min_tau,3,4,6,8,O0006,"[[-2, 0], [-1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-2, 0], [-1, 0]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}, {""color"": ""black"", ""stones"": [[1, 0], [1, -2]]}, {""color"": ""white"", ""stones"": [[2, 0], [2, -1]]}, {""color"": ""black"", ""stones"": [[1, 1], [1, -3]]}, {""color"": ""white"", ""stones"": [[0, -2], [1, 2]]}]",none,U,,9,10,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,2,0,0.0
G00015,debt_builder,min_tau,3,4,6,8,O0007,"[[-2, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-2, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[-1, 0], [2, -1]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[0, -3], [0, 3]]}, {""color"": ""black"", ""stones"": [[1, 0], [1, -1]]}, {""color"": ""white"", ""stones"": [[-1, -1], [-1, 2]]}, {""color"": ""black"", ""stones"": [[1, -2], [1, 1]]}, {""color"": ""white"", ""stones"": [[-1, -2], [-1, 3]]}]",white,W,9,9,10,white_counter_line,1,0,1,0,0,0,8.0,1000.0,,,2,1,6255.8
